Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Class
6,21,9,17,5,2,1,10,2
43,53,5,6,2,2,9,26,2
50,97,21,7,16,2,19,6,2
39,48,4,9,4,3,11,16,2
27,34,30,10,4,2,1,20,2
36,5,23,1,4,2,2,2,2
15,6,10,1,4,3,9,2,2
55,20,7,8,4,1,5,14,2
62,15,4,21,7,4,3,27,2
1,17,11,2,3,2,1,1,2
19,18,5,2,2,2,5,3,2
32,10,6,14,6,4,8,10,2
19,19,8,10,12,2,1,2,2
58,42,1,26,13,4,2,18,2
12,63,28,12,16,12,10,31,2
12,23,14,4,1,3,3,11,2
13,3,17,4,2,0,5,8,2
29,27,1,3,1,1,4,10,2
2,21,16,5,0,4,0,22,2
36,11,7,6,5,2,4,9,2
21,53,18,3,1,6,3,5,2
32,51,21,24,18,2,6,5,2
9,0,20,32,30,1,4,14,2
2,15,4,2,7,3,8,5,2
3,13,2,0,3,5,2,0,2
57,3,9,7,3,5,3,10,2
5,11,2,16,9,1,15,2,2
57,48,26,4,5,4,7,17,2
105,16,3,21,8,5,14,32,2
24,27,16,3,1,4,14,9,2
36,0,3,8,2,4,21,3,2
37,6,14,11,7,1,7,3,2
36,43,13,5,1,4,0,0,2
58,8,29,22,15,4,14,2,2
17,21,5,4,7,6,5,11,2
19,17,1,2,1,4,12,9,2
48,12,11,2,1,1,3,1,2
5,4,14,3,3,3,15,31,2
21,7,4,11,10,3,4,15,2
80,1,10,7,12,1,1,43,2
39,40,14,3,5,7,1,6,2
32,56,6,4,0,9,15,6,2
14,8,8,5,4,12,10,4,2
17,15,4,10,9,7,5,3,2
30,27,4,2,5,2,2,10,2
46,38,4,15,10,3,1,1,2
36,31,13,20,21,5,2,6,2
9,5,11,1,2,8,7,18,2
15,11,7,1,1,1,5,13,2
103,83,18,4,1,4,8,32,2
27,67,0,4,1,2,3,23,2
3,8,5,0,1,0,5,30,2
0,1,16,12,7,4,5,25,2
19,33,22,15,1,3,5,6,2
3,3,9,2,3,6,1,7,2
35,51,19,3,9,3,4,5,2
8,36,13,5,0,1,15,22,2
52,49,25,19,1,1,2,12,2
70,29,16,23,9,8,15,10,2
9,4,22,14,4,4,17,12,2
51,65,19,5,7,0,8,17,2
17,19,15,2,1,4,5,13,2
35,26,18,13,1,2,1,12,2
17,11,4,6,1,3,9,3,2
4,8,4,6,4,2,3,12,2
11,31,11,3,7,2,1,8,2
1,11,10,9,11,3,2,2,2
19,2,5,8,8,2,3,13,2
5,6,3,5,2,0,3,10,2
36,6,1,9,3,2,13,7,2
4,6,12,12,7,5,11,3,2
4,14,7,6,1,4,7,4,2
8,2,20,4,2,5,10,2,2
8,3,3,13,6,4,6,3,2
43,33,5,7,4,3,5,3,2
22,17,10,4,6,8,2,4,2
8,6,5,3,1,3,1,3,2
10,7,1,12,12,6,6,5,2
23,40,4,3,3,0,7,7,2
35,20,9,5,5,3,3,2,2
26,3,3,12,10,7,1,31,2
8,3,7,13,11,1,7,5,2
9,57,1,9,2,2,16,7,2
22,9,5,10,9,2,4,13,2
45,4,13,21,10,2,1,13,2
10,5,0,13,4,5,4,14,2
16,0,18,23,11,4,4,4,2
51,61,24,24,9,0,1,7,2
25,34,6,11,14,1,7,2,2
35,12,28,2,7,1,3,6,2
83,18,10,3,1,6,8,13,2
1,9,2,6,4,8,16,15,2
18,36,5,20,15,1,17,20,2
10,3,1,15,8,4,1,21,2
8,4,0,0,2,4,2,4,2
21,15,0,4,9,0,16,16,2
8,15,1,14,13,5,9,7,2
101,29,4,10,8,5,10,15,2
29,15,3,5,8,2,1,3,2
57,5,8,0,4,3,4,5,2
37,19,1,4,4,5,1,15,2
11,41,16,15,7,2,3,10,2
16,20,9,19,8,1,2,8,2
98,54,41,11,7,7,6,23,2
9,17,26,26,11,8,7,5,2
18,14,18,10,5,1,8,10,2
13,37,14,2,1,1,6,5,2
69,17,1,1,4,7,1,11,2
88,36,6,10,3,3,8,27,2
34,33,4,12,12,1,0,16,2
10,1,10,11,5,6,2,13,2
68,83,6,1,3,2,3,17,2
21,14,2,9,5,3,6,12,2
8,14,8,10,5,6,9,18,2
8,9,4,6,3,0,9,16,2
4,8,12,8,10,6,5,9,2
13,6,5,1,4,2,6,0,2
68,42,12,7,3,0,15,42,2
4,12,11,8,15,0,5,8,2
12,3,34,31,5,1,5,2,2
13,10,8,2,0,6,6,10,2
24,4,9,10,9,0,8,8,2
21,40,4,3,6,1,8,8,2
1,10,4,11,5,1,8,17,2
56,53,11,4,1,2,6,17,2
1,60,1,6,4,3,8,2,2
4,3,9,9,0,1,3,2,2
29,19,4,11,4,1,1,20,2
11,6,9,0,0,3,4,14,2
47,27,5,7,5,2,0,8,2
4,3,5,16,6,4,0,5,2
90,9,15,14,8,6,7,13,2
7,4,3,0,9,0,1,6,2
76,51,8,9,0,4,6,23,2
18,11,6,0,1,5,10,9,2
3,16,7,11,10,0,2,1,2
36,62,11,22,17,4,8,26,2
9,7,1,9,12,3,0,13,2
31,15,3,0,3,2,3,2,2
43,9,1,4,4,4,4,5,2
6,1,7,0,2,6,9,8,2
34,37,2,1,3,4,3,3,2
25,31,6,5,3,2,9,33,2
22,4,8,4,3,2,12,7,2
24,13,6,0,1,1,3,13,2
96,64,22,12,1,0,3,26,2
6,2,3,10,0,2,9,6,2
14,8,1,2,4,4,2,8,2
22,15,6,9,4,4,2,1,2
18,8,3,11,4,8,6,6,2
20,22,33,48,28,4,3,1,2
22,18,7,2,1,4,4,1,2
22,31,5,2,5,7,3,17,2
6,18,7,14,10,1,11,18,2
37,18,2,11,5,1,1,23,2
33,21,25,12,7,7,2,8,2
21,0,7,7,3,1,9,11,2
89,71,10,3,6,5,1,7,2
91,2,11,2,4,0,3,23,2
12,15,2,3,4,9,5,10,2
4,5,2,6,3,1,2,4,2
22,2,8,5,4,1,7,14,2
16,4,14,8,5,0,0,3,2
14,35,5,12,6,1,5,7,2
5,37,4,6,3,1,4,21,2
2,71,15,10,8,1,5,3,2
11,2,20,12,5,6,1,18,2
8,7,15,7,0,2,0,4,2
8,4,8,7,9,4,7,12,2
8,1,2,3,1,2,0,1,2
96,108,11,10,8,4,1,16,2
13,26,14,14,11,2,3,4,2
3,12,6,3,5,5,8,12,2
5,19,0,0,2,1,6,5,2
16,44,12,23,23,6,4,0,2
3,1,4,7,9,4,4,5,2
47,24,9,9,8,5,28,41,2
97,17,3,6,4,6,17,21,2
51,78,3,14,15,3,8,7,2
2,1,15,8,10,1,1,8,2
7,2,3,4,6,3,5,2,2
8,6,11,6,4,8,29,9,2
37,38,17,10,8,4,1,4,2
23,27,1,2,4,1,4,3,2
7,8,3,1,6,1,5,1,2
21,18,6,6,3,1,10,6,2
10,8,3,0,9,4,1,1,2
45,16,1,1,4,3,4,14,2
2,0,0,2,5,2,4,0,2
49,67,13,11,14,3,0,12,2
11,10,9,1,4,1,0,15,2
30,28,8,8,6,3,5,25,2
10,3,7,8,15,2,11,19,2
7,23,16,6,0,3,5,8,2
17,16,1,1,2,2,1,6,2
95,109,26,11,5,1,6,9,2
64,22,11,2,2,5,3,8,2
2,8,5,3,1,2,6,20,2
19,14,1,5,0,1,5,11,2
43,14,4,0,0,1,4,16,2
3,5,6,12,10,2,4,5,2
11,2,1,14,11,7,9,2,2
26,57,22,5,2,1,6,32,2
10,18,4,21,4,6,4,1,2
8,10,8,8,7,6,2,2,2
21,16,7,0,5,2,1,6,2
1,52,0,21,7,1,1,12,2
13,40,5,2,3,0,0,27,2
78,0,9,15,12,7,8,19,2
22,10,2,1,2,3,8,1,2
6,10,6,7,4,3,6,9,2
14,10,2,5,5,3,4,16,2
13,3,2,3,5,2,2,6,2
19,5,2,17,18,5,12,5,2
33,10,12,2,4,4,2,20,2
3,24,10,12,8,1,16,7,2
27,6,11,8,2,3,1,22,2
16,0,12,0,2,3,8,0,2
2,43,1,0,4,10,13,10,2
18,35,8,7,3,4,2,2,2
39,74,22,10,1,7,14,9,2
5,9,11,7,7,3,1,17,2
67,45,7,11,5,0,3,46,2
5,3,3,5,3,0,0,8,2
7,27,11,15,9,6,1,8,2
5,1,6,5,2,7,6,22,2
12,3,9,2,4,4,9,8,2
4,11,34,22,5,5,3,10,2
27,16,9,0,12,3,27,26,2
12,7,6,2,3,2,5,6,2
42,65,15,0,0,2,7,24,2
0,13,13,17,19,1,9,10,2
19,32,6,17,3,3,0,4,2
16,26,7,8,0,0,5,19,2
18,19,2,6,2,4,8,18,2
9,24,4,6,7,12,23,5,2
59,51,19,14,10,7,2,25,2
13,29,2,3,3,1,1,32,2
6,2,7,1,1,3,14,16,2
15,12,8,5,7,2,1,2,2
23,5,13,2,5,2,3,9,2
16,20,20,3,4,2,0,14,2
28,15,10,3,5,1,10,10,2
47,59,8,4,4,3,4,4,2
35,41,4,7,6,2,2,4,2
11,4,1,0,0,0,2,5,2
0,8,10,4,5,1,4,9,2
15,9,4,3,9,3,16,24,2
98,42,18,1,7,2,7,26,2
37,44,7,3,5,6,8,24,2
32,17,9,13,11,0,6,29,2
13,32,2,5,4,1,12,5,2
26,13,8,5,2,1,4,1,2
34,5,2,0,4,0,5,1,2
28,31,8,3,2,10,7,8,2
13,35,5,2,3,4,3,0,2
17,17,10,5,3,0,5,3,2
81,18,3,4,0,0,1,11,2
48,2,9,1,4,1,1,15,2
2,5,5,7,6,2,3,6,2
26,7,2,0,6,6,12,16,2
17,2,2,1,2,3,7,10,2
31,33,1,6,4,1,2,33,2
25,10,12,2,6,6,29,46,2
8,19,10,13,8,6,11,19,2
8,0,1,4,1,3,9,4,2
14,26,6,4,6,2,13,9,2
18,1,4,14,11,5,6,4,2
34,15,13,1,4,3,15,9,2
76,62,3,2,3,1,17,19,2
37,20,7,1,2,2,8,24,2
6,21,5,1,1,5,3,8,2
55,10,8,5,4,2,1,12,2
7,10,19,12,12,4,7,9,2
4,5,3,5,6,4,0,0,2
2,2,5,8,4,0,11,0,2
13,8,12,18,4,1,9,12,2
56,16,7,17,7,1,13,15,2
12,5,29,9,3,5,9,15,2
38,16,9,11,1,3,5,22,2
25,63,5,1,6,7,20,3,2
14,23,20,9,4,2,6,6,2
49,49,4,1,1,3,3,13,2
10,0,20,11,11,7,6,16,2
62,10,14,11,1,3,1,11,2
20,17,3,1,6,1,10,24,2
1,17,2,6,2,4,10,15,2
6,10,8,2,4,2,2,14,2
93,92,12,3,0,0,5,28,2
69,27,7,9,5,8,2,45,2
27,42,28,14,19,1,5,23,2
24,29,11,1,5,1,2,15,2
23,10,1,4,2,3,3,4,2
30,31,6,6,5,1,24,30,2
58,67,24,20,16,1,3,17,2
15,2,7,11,10,0,7,13,2
15,1,5,1,5,1,8,9,2
53,23,1,8,9,1,7,5,2
39,33,9,15,13,1,1,4,2
15,11,18,8,8,1,4,5,2
2,20,12,4,2,8,2,8,2
12,29,10,16,18,2,4,0,2
8,10,7,6,3,1,2,10,2
1,26,6,14,10,2,2,15,2
34,64,15,4,6,8,18,28,2
66,16,5,9,6,2,25,24,2
17,7,7,2,0,3,1,4,2
5,37,8,3,9,0,7,2,2
23,7,6,3,3,7,4,5,2
17,13,6,6,6,2,4,6,2
15,15,4,0,1,2,7,7,2
3,3,1,8,2,2,9,7,2
30,21,12,8,1,1,5,1,2
63,19,0,6,7,4,3,16,2
19,14,25,2,8,3,0,17,2
5,10,0,19,15,6,3,7,2
23,25,4,16,8,8,8,2,2
53,14,7,1,3,0,9,9,2
87,22,0,6,9,1,5,23,2
54,28,13,0,3,3,2,8,2
6,10,9,4,2,5,6,23,2
35,18,3,3,3,1,7,4,2
10,41,17,4,3,6,8,13,2
48,75,28,12,7,2,6,1,2
10,14,9,4,5,6,10,20,2
4,22,10,5,0,1,6,13,2
4,39,2,5,0,1,3,9,2
11,20,6,7,1,2,2,4,2
15,3,5,0,1,1,2,3,2
13,28,11,3,4,1,1,1,2
15,34,3,6,2,3,10,8,2
17,3,5,9,6,7,2,1,2
17,19,7,3,3,4,4,2,2
62,64,18,4,2,7,7,2,2
28,40,16,16,7,2,1,5,2
71,14,24,14,1,5,4,10,2
94,32,7,5,7,6,3,12,2
15,8,7,1,7,5,7,1,2
41,9,5,9,11,0,9,11,2
33,19,4,2,0,4,18,2,2
15,9,5,1,2,5,4,16,2
33,3,16,12,6,0,14,6,2
10,4,1,0,3,7,1,1,2
52,25,5,10,14,2,4,10,2
73,29,6,6,3,4,1,43,2
10,4,8,6,1,2,1,1,2
9,22,4,8,6,1,1,3,2
10,2,4,2,2,3,6,2,2
12,8,5,16,14,1,8,10,2
31,6,2,5,2,2,2,11,2
62,37,4,2,2,5,1,13,2
6,21,1,4,3,1,1,0,2
11,15,12,15,13,7,8,4,2
24,14,5,1,0,0,3,10,2
2,7,3,4,0,1,1,9,2
20,4,9,5,2,4,11,17,2
84,15,6,7,8,7,33,41,2
78,60,28,6,1,2,20,66,2
55,22,5,1,4,0,6,42,2
9,8,1,3,6,1,4,3,2
15,13,3,9,8,2,3,4,2
15,4,3,5,2,1,10,9,2
23,22,12,8,7,1,9,4,2
12,15,9,6,5,3,5,3,2
23,24,15,2,2,1,6,9,2
17,5,7,10,17,10,17,15,2
20,26,13,0,0,2,5,9,2
24,21,2,8,6,5,3,14,2
31,0,4,3,3,4,12,18,2
20,11,5,2,3,7,6,20,2
42,67,9,15,9,4,1,4,2
7,10,5,10,7,5,5,23,2
64,60,11,1,6,6,4,38,2
30,51,4,6,4,8,19,14,2
24,1,4,5,3,1,5,6,2
72,1,5,2,5,0,8,5,2
8,2,2,1,6,3,3,16,2
12,1,2,5,2,1,2,19,2
0,6,5,1,4,3,17,3,2
40,26,8,11,2,9,5,13,2
4,16,4,13,5,1,3,7,2
35,4,7,3,1,2,5,3,2
27,53,14,9,6,4,1,10,2
8,10,4,1,2,2,5,0,2
8,3,10,7,5,1,1,5,2
34,31,3,6,3,1,5,0,2
14,23,4,3,4,1,2,6,2
4,1,6,1,1,5,5,2,2
33,0,18,3,3,0,7,10,2
36,30,3,17,14,3,13,13,2
3,10,8,15,6,2,4,22,2
0,7,10,21,2,3,1,7,2
16,9,5,2,1,4,4,7,2
29,22,21,2,2,1,18,18,2
44,36,9,0,4,4,10,11,2
11,3,0,7,6,1,5,7,2
43,27,1,0,5,6,7,24,2
22,8,9,7,4,1,3,27,2
11,0,3,9,2,2,1,1,2
74,16,1,2,1,2,6,25,2
48,36,12,10,2,2,3,17,2
47,73,8,2,4,1,3,18,2
6,22,10,12,7,5,4,3,2
33,19,34,29,14,5,2,13,2
4,3,15,10,1,3,17,4,2
0,13,8,1,1,3,18,18,2
2,14,3,6,6,4,1,13,2
11,8,4,8,13,1,10,5,2
27,12,6,6,1,0,8,4,2
32,14,13,2,1,0,1,17,2
13,7,8,3,6,2,10,23,2
55,1,4,14,4,3,12,19,2
13,12,0,6,6,4,13,6,2
9,29,2,1,2,2,6,5,2
20,11,9,7,4,8,3,5,2
72,7,9,7,6,1,16,24,2
27,9,10,2,7,4,2,10,2
12,14,9,5,1,1,1,16,2
5,7,5,5,2,1,5,5,2
8,15,3,2,2,4,10,4,2
15,4,3,15,3,4,3,14,2
8,1,4,6,4,4,10,7,2
16,3,12,3,0,4,12,1,2
16,0,10,5,1,6,2,7,2
5,29,15,1,11,1,4,11,2
75,31,19,3,8,4,8,17,2
24,8,7,10,1,5,13,8,2
9,61,1,7,9,2,6,3,2
12,4,1,0,6,3,8,19,2
4,8,10,7,4,1,8,8,2
15,7,12,2,8,0,4,0,2
8,10,9,27,13,7,8,3,2
31,71,1,12,8,1,7,4,2
19,50,7,1,2,2,2,3,2
3,16,8,1,7,2,9,17,2
24,4,5,9,2,0,1,4,2
1,6,10,15,2,3,14,17,2
20,9,1,7,5,2,13,0,2
8,6,6,18,16,2,3,1,2
20,26,11,0,4,1,0,11,2
79,41,10,5,1,1,3,14,2
16,8,4,8,10,0,2,10,2
3,8,6,5,1,1,0,1,2
14,3,4,2,5,2,7,21,2
17,31,1,0,6,1,3,7,2
0,8,11,9,7,10,9,8,2
44,2,4,15,14,5,5,12,2
21,35,13,9,4,6,11,16,2
9,31,14,7,7,2,10,14,2
15,25,10,12,10,4,7,12,2
73,9,3,3,2,6,13,52,2
47,41,4,2,1,3,2,18,2
0,50,7,2,2,5,9,13,2
4,24,10,13,5,1,3,6,2
30,12,1,19,9,2,8,20,2
11,11,5,27,14,1,5,1,2
10,19,11,9,9,6,9,2,2
13,23,6,8,2,0,9,7,2
16,0,4,1,3,2,5,4,2
2,22,1,2,2,1,3,3,2
37,5,0,6,2,2,3,2,2
10,11,19,12,1,0,7,0,2
6,27,6,19,7,1,1,29,2
14,1,10,9,8,2,5,22,2
26,44,17,15,10,0,1,11,2
96,70,17,9,6,3,1,19,2
5,2,4,14,8,3,0,8,2
37,4,12,9,6,0,1,9,2
55,6,3,3,4,0,4,20,2
11,5,5,18,14,1,1,3,2
3,43,1,9,4,2,9,9,2
16,15,11,3,5,2,4,2,2
23,3,7,14,1,4,7,17,2
41,24,17,30,13,7,2,13,2
3,14,15,8,1,2,8,3,2
3,10,37,41,8,9,9,5,2
0,17,6,1,5,4,11,39,2
13,14,17,11,5,2,18,49,2
15,24,21,37,2,3,15,1,2
14,27,4,25,6,5,2,12,2
13,21,2,7,8,4,8,12,2
16,6,0,7,6,2,9,23,2
10,0,2,1,4,3,7,4,2
1,2,6,14,4,1,10,15,2
13,4,4,7,3,0,11,39,2
24,13,10,40,30,11,11,1,2
11,1,26,24,7,2,7,1,2
21,11,1,4,0,2,3,10,2
5,36,22,32,6,3,3,4,2
15,12,0,17,3,1,0,2,2
21,37,1,10,4,3,1,9,2
26,60,7,2,11,2,0,10,2
3,2,10,17,5,1,4,1,2
1,21,12,14,3,0,6,13,2
4,9,7,6,5,3,2,12,2
10,5,24,18,6,4,1,9,2
2,10,19,17,2,2,8,20,2
8,10,8,5,1,3,6,18,2
16,18,15,28,11,4,11,18,2
16,10,4,20,4,4,12,12,2
36,19,20,13,0,5,15,11,2
34,91,47,43,31,7,4,6,2
5,22,6,15,7,1,4,25,2
76,39,7,0,4,1,1,1,2
55,64,24,3,10,0,3,13,2
10,13,11,9,14,3,3,19,2
2,8,2,3,8,4,4,16,2
5,1,3,3,0,4,10,1,2
50,39,4,23,20,8,2,14,2
11,17,9,22,20,5,2,1,2
9,20,3,1,6,1,3,8,2
11,38,3,2,2,6,4,10,2
15,9,9,11,4,1,15,3,2
11,23,8,3,5,2,13,6,2
3,13,5,21,14,7,2,4,2
19,8,15,25,10,4,1,2,2
103,57,19,17,8,4,6,24,2
16,11,3,4,9,3,4,10,2
30,38,17,9,6,6,10,7,2
3,19,4,2,1,1,2,8,2
19,14,12,11,2,0,3,32,2
1,26,0,3,7,2,1,0,2
18,7,1,0,1,2,4,2,2
17,32,14,8,3,5,10,5,2
23,15,14,5,3,2,0,0,2
12,9,3,14,13,2,0,10,2
11,9,1,11,6,3,5,16,2
27,28,10,4,1,3,5,10,2
21,9,11,5,5,1,3,23,2
8,22,7,12,2,4,5,2,2
46,28,20,13,1,2,12,7,2
69,27,17,29,9,8,6,5,2
12,3,19,0,1,1,8,1,2
8,13,12,9,2,1,7,7,2
28,7,6,7,6,3,6,20,2
36,11,9,20,14,3,12,11,2
30,23,3,8,9,3,8,3,2
3,8,1,3,4,3,6,4,2
17,33,11,7,4,6,2,8,2
27,21,4,11,10,6,13,17,2
2,5,3,10,7,1,3,10,2
33,28,3,18,12,2,8,17,2
22,24,12,15,5,7,8,22,2
46,52,9,17,6,1,1,2,2
18,16,7,3,1,2,1,8,2
9,14,13,7,2,1,4,14,2
19,28,10,9,0,1,1,23,2
25,5,16,4,5,2,1,7,2
24,13,2,1,4,2,4,3,2
25,6,10,23,17,5,10,3,2
20,21,9,9,7,4,4,24,2
7,1,2,6,2,1,1,10,2
15,7,12,5,2,3,5,6,2
1,5,9,5,3,0,2,2,2
29,7,15,20,1,1,3,2,2
3,13,8,19,2,4,5,5,2
17,25,3,11,0,10,6,9,2
26,4,6,18,15,4,10,8,2
51,36,9,1,5,1,1,17,2
26,52,9,14,20,11,17,25,2
13,19,8,0,4,2,14,35,2
25,15,10,3,5,0,2,6,2
19,4,3,6,2,4,11,19,2
4,3,14,9,3,3,13,1,2
18,6,19,11,1,7,14,3,2
1,6,18,14,6,3,25,0,2
31,32,2,5,4,0,3,32,2
5,24,3,0,0,4,0,13,2
2,3,2,2,0,2,12,12,2
10,12,19,20,4,4,4,3,2
65,51,16,16,0,2,1,6,2
10,22,8,0,7,0,13,2,2
0,5,13,15,18,1,23,14,2
36,8,1,5,13,7,17,60,2
2,9,3,9,4,4,6,15,2
13,21,11,2,2,0,2,11,2
18,5,16,2,4,3,11,10,2
21,3,12,13,7,3,7,28,2
18,2,4,19,13,3,13,6,2
14,17,1,23,13,3,1,12,2
36,29,1,4,2,0,2,8,2
14,21,12,5,8,2,0,0,2
8,17,9,5,1,0,5,10,2
20,2,2,5,5,0,0,15,2
16,14,5,20,9,6,9,12,2
9,9,15,5,6,7,26,13,2
1,5,13,22,5,2,21,0,2
0,2,7,8,7,1,2,1,2
2,17,6,9,16,1,2,10,2
5,17,4,6,2,1,6,14,2
3,20,8,5,4,0,1,13,2
2,16,21,17,14,3,4,3,2
20,3,0,5,1,0,9,13,2
4,11,2,1,4,8,19,36,2
1,8,6,4,1,2,9,28,2
0,10,12,11,11,4,10,2,2
12,3,3,4,0,2,4,4,2
14,11,1,19,15,1,2,7,2
11,12,6,0,4,1,14,0,2
58,30,7,3,0,6,8,7,2
22,12,2,1,5,1,11,24,2
9,4,12,18,8,2,3,10,2
4,28,7,4,12,2,4,9,2
13,8,8,14,2,5,2,12,2
8,7,6,8,7,1,7,6,2
15,14,8,8,8,1,3,2,2
54,3,2,6,2,2,4,27,2
27,11,4,4,0,5,5,5,2
15,4,11,9,4,7,5,13,2
81,4,11,11,6,1,14,25,2
40,9,13,8,5,5,8,27,2
21,22,1,6,0,4,1,6,2
19,22,4,4,6,6,13,5,2
71,28,8,4,8,4,12,4,2
7,10,1,12,5,5,7,33,2
12,12,1,20,12,4,11,14,2
24,19,4,5,3,3,10,16,2
4,24,5,3,1,1,5,11,2
15,6,10,2,1,3,1,7,2
2,21,6,7,3,0,1,7,2
12,14,14,1,1,4,3,0,2
12,7,7,5,4,4,3,5,2
4,20,2,4,2,1,2,13,2
40,5,15,11,0,2,6,13,2
19,12,18,2,6,3,4,2,2
4,7,4,2,3,1,2,15,2
5,2,10,10,4,4,3,8,2
10,22,1,1,5,8,1,10,2
1,4,11,9,4,9,27,6,2
2,25,4,4,0,7,23,6,2
53,24,18,10,8,4,7,22,2
33,22,7,10,21,4,2,1,2
80,11,12,12,8,3,5,34,2
26,10,8,9,15,0,0,7,2
5,11,6,10,2,3,1,10,2
7,8,4,12,1,8,2,2,2
37,2,1,9,3,6,1,15,2
23,1,2,1,8,2,2,12,2
45,1,8,15,0,3,9,22,2
26,45,2,6,4,5,5,2,2
64,32,1,8,4,1,17,12,2
1,8,2,15,4,6,3,9,2
28,14,13,6,4,1,9,16,2
8,30,3,8,8,6,4,10,2
23,11,2,10,18,4,3,3,2
15,56,4,6,6,3,6,9,2
0,20,15,5,0,1,5,6,2
10,7,5,2,1,0,5,10,2
23,14,13,15,13,3,7,4,2
2,1,14,6,6,0,5,0,2
8,58,9,8,6,1,0,5,2
11,14,9,17,2,4,1,3,2
30,23,26,26,1,1,1,18,2
32,13,4,4,2,5,7,10,2
41,8,3,4,2,3,20,4,2
62,16,7,13,4,5,0,19,2
10,1,6,4,5,7,1,2,2
16,28,2,4,6,4,1,10,2
2,10,18,4,2,1,2,23,2
1,32,11,15,16,2,3,9,2
1,22,1,1,1,5,8,16,2
29,5,15,15,7,0,1,4,2
25,34,5,1,2,1,1,1,2
21,16,9,12,6,2,6,9,2
7,23,7,11,0,3,5,5,2
33,21,5,3,7,0,4,3,2
3,4,10,14,13,3,3,6,2
21,9,12,1,2,3,10,14,2
19,4,11,5,4,5,10,0,2
1,3,1,2,5,5,4,3,2
9,22,6,1,4,2,2,5,2
19,5,3,0,3,0,0,2,2
1,2,1,0,2,2,6,3,2
56,11,1,4,1,3,14,40,2
27,40,7,10,5,1,4,23,2
5,43,1,11,7,5,4,2,2
5,24,6,0,6,0,14,18,2
7,12,0,15,9,2,6,3,2
8,19,7,2,1,4,7,28,2
15,23,3,9,9,2,3,1,2
10,9,7,8,7,3,4,11,2
51,40,12,7,11,7,11,9,2
14,6,2,16,6,6,3,8,2
7,8,0,9,4,2,2,2,2
3,12,1,4,1,0,2,10,2
23,42,36,15,4,1,3,6,2
7,12,14,14,6,5,8,5,2
10,4,20,10,0,2,9,6,2
20,9,1,19,6,5,12,19,2
9,18,8,19,14,11,3,27,2
6,50,11,9,11,3,6,8,2
71,28,23,20,8,4,6,18,2
45,45,13,2,11,4,7,2,2
19,50,3,2,1,5,6,7,2
20,22,10,10,8,6,14,20,2
17,25,1,3,6,3,4,9,2
14,4,21,9,7,1,1,2,2
23,12,8,12,3,2,3,7,2
5,6,0,2,5,0,6,4,2
17,17,4,0,5,3,0,7,2
20,20,25,5,3,1,4,2,2
13,5,1,17,4,2,8,3,2
1,5,3,0,8,3,10,4,2
2,29,13,14,7,4,10,8,2
9,20,8,3,2,5,4,7,2
10,6,2,10,5,0,1,8,2
5,3,7,2,8,1,13,20,2
11,1,7,1,0,2,7,12,2
63,28,25,0,5,4,4,5,2
4,9,0,5,5,5,1,8,2
38,3,13,3,2,1,9,18,2
100,87,2,5,4,3,8,19,2
1,49,4,6,4,3,1,0,2
3,1,19,12,0,6,1,11,2
8,19,4,5,3,1,2,7,2
16,19,4,3,1,1,6,23,2
22,35,13,6,2,2,3,6,2
14,1,2,0,3,3,5,15,2
11,6,0,5,9,1,10,18,2
29,5,2,12,6,3,3,1,2
13,10,10,16,3,1,7,3,2
1,1,11,8,2,1,4,7,2
33,50,17,4,7,5,2,23,2
2,9,4,9,3,2,2,5,2
9,5,7,1,1,2,8,2,2
13,3,4,8,4,3,4,11,2
31,37,17,1,4,2,13,10,2
62,18,11,6,0,3,0,33,2
50,52,11,13,8,1,8,17,2
23,58,1,3,2,5,5,22,2
8,18,2,3,5,1,3,10,2
2,11,14,7,0,1,2,9,2
20,16,4,8,6,1,2,4,2
0,39,8,2,4,0,2,1,2
19,6,1,4,1,2,18,14,2
5,22,0,6,3,2,2,11,2
16,29,13,9,6,2,3,2,2
1,48,8,4,7,5,4,0,2
7,2,9,8,15,2,3,1,2
13,2,7,6,3,2,7,10,2
4,1,5,6,3,1,1,1,2
7,0,4,8,7,6,16,11,2
12,4,4,0,2,3,19,27,2
21,27,4,1,0,5,14,17,2
3,22,10,1,5,3,2,19,2
5,5,7,3,7,1,2,36,2
8,8,6,13,17,4,3,0,2
61,7,9,10,14,8,9,8,2
47,7,5,5,6,2,3,4,2
9,4,4,1,0,6,7,6,2
7,4,8,8,2,5,3,6,2
7,10,4,12,20,8,9,2,2
41,32,2,6,5,1,12,5,2
20,8,2,2,1,4,9,7,2
2,12,2,11,7,5,4,1,2
2,22,6,5,3,0,3,3,2
8,23,6,8,1,1,2,6,2
1,12,1,2,3,5,3,12,2
4,4,11,12,7,1,5,4,2
9,8,7,10,1,0,3,18,2
57,5,12,7,9,3,6,25,2
32,52,12,1,1,2,4,33,2
4,28,7,6,1,1,6,7,2
12,22,6,4,1,1,4,13,2
21,5,4,2,0,5,4,7,2
36,24,4,7,1,3,9,23,2
4,13,8,8,3,3,3,12,2
17,6,5,9,3,2,5,14,2
40,14,1,8,6,6,6,9,2
4,8,12,5,3,0,4,14,2
2,41,7,2,2,2,4,10,2
23,28,16,9,8,2,15,3,2
34,10,13,6,13,4,18,23,2
7,11,2,7,3,1,13,22,2
