Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Class
7,2,47,10,14,120,20,22,1
22,11,6,19,15,38,14,37,1
61,4,41,33,24,127,1,10,1
55,7,43,7,11,45,14,3,1
18,0,18,27,34,10,11,10,1
24,18,1,1,1,25,7,28,1
29,2,11,2,6,35,11,22,1
57,13,32,16,13,73,8,32,1
25,7,6,14,14,21,9,25,1
70,12,26,8,3,69,17,88,1
76,27,42,27,0,107,7,81,1
36,7,20,11,12,30,6,37,1
59,16,44,7,11,35,43,25,1
26,2,6,8,2,32,11,27,1
51,22,10,10,5,2,18,27,1
29,36,66,44,4,21,6,21,1
27,11,41,69,8,35,30,29,1
21,18,6,51,31,3,7,14,1
13,12,24,25,8,3,24,40,1
37,17,13,24,9,38,4,39,1
62,25,15,58,23,22,19,37,1
42,22,60,8,3,73,44,7,1
27,6,21,14,10,92,24,8,1
13,11,33,21,3,33,8,13,1
33,11,14,30,9,47,29,14,1
15,7,37,17,9,66,19,15,1
8,8,27,36,11,77,6,20,1
33,0,30,3,8,109,30,6,1
12,3,14,10,11,99,43,4,1
19,1,7,43,14,38,18,6,1
18,18,54,30,7,24,17,38,1
16,20,42,21,13,32,28,3,1
53,23,63,11,10,102,9,48,1
37,12,14,31,4,85,10,7,1
9,13,15,5,10,59,12,18,1
41,2,21,31,1,91,21,50,1
82,10,11,23,15,43,25,17,1
21,10,17,7,11,9,37,16,1
59,5,59,21,10,9,27,1,1
26,6,5,6,2,80,3,4,1
19,11,26,11,7,127,17,2,1
45,33,93,20,7,128,22,12,1
24,5,8,3,6,14,15,0,1
8,0,15,15,19,60,15,7,1
40,8,35,39,1,25,43,70,1
3,0,13,1,3,83,14,22,1
73,9,23,18,11,120,4,23,1
67,17,11,12,2,127,33,22,1
26,1,10,42,2,89,23,13,1
30,0,31,65,15,89,20,66,1
42,24,72,61,9,23,17,24,1
35,17,18,17,11,53,39,40,1
74,3,6,8,6,128,25,63,1
43,11,1,11,1,21,26,70,1
57,28,51,28,6,41,47,89,1
51,0,60,8,1,100,35,47,1
24,10,62,4,2,38,8,20,1
32,12,26,18,4,45,33,61,1
10,14,8,22,11,78,37,15,1
2,15,19,15,6,99,27,36,1
16,17,56,9,12,14,17,21,1
51,13,46,26,1,98,10,6,1
25,25,41,3,15,13,17,24,1
50,7,26,7,8,128,9,36,1
5,22,51,1,9,3,79,4,1
49,36,63,26,0,128,77,55,1
28,18,78,22,10,84,7,35,1
6,11,57,20,6,89,19,10,1
67,3,14,9,10,25,21,49,1
7,12,29,4,2,17,2,43,1
33,10,12,14,3,9,51,86,1
71,8,34,2,3,33,34,47,1
89,14,27,1,1,88,34,13,1
25,17,34,36,3,91,3,13,1
28,2,50,61,13,34,34,24,1
61,25,80,16,6,40,20,24,1
59,10,1,13,9,16,36,63,1
63,8,39,3,2,9,49,64,1
10,2,24,0,9,49,51,24,1
53,31,58,24,5,68,17,19,1
37,30,70,29,21,45,44,33,1
8,9,2,24,1,1,23,12,1
59,15,11,4,1,9,39,19,1
7,4,30,19,1,86,10,47,1
28,9,24,10,10,74,16,15,1
8,4,2,24,9,127,24,49,1
57,22,32,38,2,112,49,25,1
30,6,12,7,2,10,7,2,1
38,9,62,2,11,8,23,8,1
13,2,10,6,1,64,7,40,1
6,7,24,14,0,1,20,27,1
42,10,21,1,0,80,24,58,1
21,3,6,33,5,37,8,22,1
7,10,3,24,8,12,7,32,1
65,20,61,8,3,65,32,63,1
58,36,84,27,3,127,53,80,1
34,17,15,0,4,114,9,2,1
59,11,21,12,2,23,27,1,1
26,13,1,39,0,47,14,6,1
15,19,60,15,4,16,23,5,1
1,14,18,7,7,21,22,66,1
5,3,5,6,5,80,5,7,1
31,2,16,5,6,44,24,14,1
4,3,36,3,3,39,22,23,1
26,12,60,21,1,76,34,51,1
31,6,5,7,10,72,0,9,1
3,9,42,8,1,13,3,8,1
8,14,44,14,4,47,1,49,1
15,25,33,22,4,7,10,8,1
48,16,37,28,10,6,11,30,1
67,9,40,36,1,45,9,57,1
14,12,19,37,1,59,8,56,1
17,3,5,30,7,6,2,26,1
26,13,29,38,2,69,29,31,1
34,6,35,14,0,46,1,13,1
27,2,4,4,7,17,15,28,1
16,5,3,5,5,46,27,28,1
27,2,5,11,5,34,11,16,1
49,2,0,10,2,26,12,28,1
83,17,3,7,1,42,3,37,1
4,4,19,5,0,23,5,21,1
25,3,47,4,2,33,15,18,1
6,8,16,8,0,3,14,19,1
54,6,14,6,5,34,9,4,1
9,0,14,10,0,23,25,66,1
17,9,29,21,1,43,3,6,1
47,5,12,19,3,89,12,46,1
52,20,21,11,4,27,14,51,1
31,21,9,3,4,11,3,15,1
42,9,3,21,3,107,39,17,1
2,1,3,9,2,93,9,10,1
7,4,2,10,3,76,7,3,1
17,18,7,5,8,19,19,37,1
37,17,20,12,7,6,38,85,1
1,14,20,7,3,57,16,2,1
29,3,5,17,1,65,4,40,1
3,5,1,20,2,24,5,23,1
16,17,10,23,3,53,11,19,1
5,4,3,10,4,95,15,16,1
17,5,36,3,2,125,27,42,1
10,4,32,21,10,31,14,11,1
48,7,3,17,2,76,3,22,1
10,14,8,2,7,73,6,4,1
15,9,13,2,11,27,17,30,1
1,4,3,22,7,9,8,5,1
11,12,31,3,10,32,32,47,1
3,12,32,31,5,9,65,97,1
1,1,16,1,1,23,2,49,1
14,0,16,6,1,31,4,15,1
20,2,13,10,4,16,8,8,1
17,4,17,10,5,31,34,50,1
8,13,14,49,1,48,8,4,1
19,4,9,27,8,5,33,33,1
56,11,20,33,8,3,16,28,1
47,16,52,29,7,50,19,20,1
5,10,13,11,8,24,16,13,1
16,8,32,11,12,39,7,18,1
34,4,13,12,2,9,15,20,1
49,12,37,3,3,112,6,20,1
14,5,5,42,10,70,17,58,1
26,23,42,10,10,28,33,79,1
16,4,26,7,13,62,24,24,1
40,23,38,52,12,18,30,53,1
20,0,0,7,2,51,30,16,1
